Game,Rank
Just Chatting,1
Grand Theft Auto V,2
League of Legends,3
Fortnite,4
VALORANT,5
Call of Duty: Warzone,6
Minecraft,7
Apex Legends,8
Counter-Strike: Global Offensive,9
Resident Evil Village,10
Dota 2,11
FIFA 21,12
World of Warcraft,13
Dead by Daylight,14
Tom Clancy's Rainbow Six Siege,15
Sports,16
Slots,17
Rocket League,18
Music,19
Hearthstone,20
Teamfight Tactics,21
Destiny 2,22
Rust,23
Chess,24
Among Us,25
Escape from Tarkov,26
Genshin Impact,27
Overwatch,28
PLAYERUNKNOWN'S BATTLEGROUNDS,29
Garena Free Fire,30
Call Of Duty: Modern Warfare,31
Path of Exile,32
Subnautica: Below Zero,33
Talk Shows & Podcasts,34
Art,35
Call of Duty: Black Ops Cold War,36
DayZ,37
Special Events,38
ASMR,39
The Binding of Isaac: Repentance,40
Final Fantasy XIV Online,41
NBA 2K21,42
Knockout City,43
Mass Effect Legendary Edition,44
SMITE,45
Biomutant,46
Poker,47
Ark: Survival Evolved,48
Returnal,49
Sea of Thieves,50
LOST ARK,51
Magic: The Gathering,52
World of Tanks,53
Retro,54
It Takes Two,55
Games + Demos,56
Old School RuneScape,57
Phasmophobia,58
"Pools, Hot Tubs, and Beaches",59
Black Desert Online,60
Clash Royale,61
Dungeons & Dragons,62
Fall Guys: Ultimate Knockout,63
New Pok<U+00E9>mon Snap,64
Pok<U+00E9>mon Sword/Shield,65
Age of Empires II,66
Roblox,67
StarCraft II,68
Travel & Outdoors,69
Gartic Phone,70
World of Warships,71
Monster Hunter Rise,72
Days Gone,73
Hood: Outlaws & Legends,74
Tibia,75
Resident Evil 7 biohazard,76
Food & Drink,77
Science & Technology,78
Super Smash Bros. Ultimate,79
Heroes of Might and Magic III: The Restoration of Erathia,80
Tabletop RPGs,81
VRChat,82
Street Fighter V,83
MLB The Show 21,84
GeoGuessr,85
Brawlhalla,86
League of Legends: Wild Rift,87
osu!,88
Hunt: Showdown,89
Crypto,90
Dark Souls III,91
Dread Hunger,92
TrackMania,93
Mario Kart 8,94
F1 2020,95
Eternal Return: Black Survival,96
Heroes of the Storm,97
Valheim,98
Guilty Gear: Strive,99
Animal Crossing: New Horizons,100
Warcraft III,101
Conan Exiles,102
Red Dead Redemption 2,103
Legends of Runeterra,104
The Sims 4,105
Enlisted,106
7 Days to Die,107
Super Mario Party,108
StarCraft,109
Subnautica,110
Euro Truck Simulator 2,111
PUBG Mobile,112
The Elder Scrolls Online,113
Dark Souls,114
MapleStory,115
Marbles On Stream,116
Miitopia,117
Motorsport Manager,118
Super Smash Bros. Melee,119
First Class Trouble,120
Pok<U+00E9>mon Trading Card Game,121
Super Mario Maker 2,122
Star Citizen,123
Brawl Stars,124
Call of Duty: Mobile,125
iRacing,126
NieR Replicant ver.1.22474487139...,127
Scavengers,128
DEVOUR,129
Terraria,130
Stardew Valley,131
Life is Strange,132
RuneScape,133
Project Zomboid,134
The Legend of Zelda: Breath of the Wild,135
Watch Parties,136
Slay the Spire,137
Dofus,138
Swords of Legends Online,139
Football Manager 2021,140
Conqueror's Blade,141
Battlefield V,142
Warframe,143
Assetto Corsa Competizione,144
I'm Only Sleeping,145
SnowRunner,146
Chivalry 2,147
Gears 5,148
Tekken 7,149
Bloodborne,150
Raid: Shadow Legends,151
Diablo III,152
Pummel Party,153
Super Mario 64,154
Microsoft Flight Simulator,155
Outriders,156
Makers & Crafting,157
Gwent: The Witcher Card Game,158
Mario Kart 8 Deluxe,159
Summoners War: Sky Arena,160
Madden NFL 21,161
Worms W.M.D,162
Mortal Kombat 11,163
Don't Starve Together,164
Epic Seven,165
Super Mario Odyssey,166
Knight Online,167
Assassin's Creed Valhalla,168
Arma 3,169
Pok<U+00E9>mon GO,170
Elite: Dangerous,171
Stream Raiders,172
The Forest,173
Divinity: Original Sin II,174
RimWorld,175
Trials Rising,176
Hollow Knight,177
Dark Souls II,178
FIFA Online 4,179
The Last of Us Part II,180
Halo: The Master Chief Collection,181
Farming Simulator 19,182
Guild Wars 2,183
Detroit: Become Human,184
Rogue Company,185
Forza Horizon 4,186
Albion Online,187
Lineage 2,188
Yu-Gi-Oh! Duel Links,189
Night in the Woods,190
Virtual Casino,191
Resident Evil 4,192
Super Mario World,193
Paladins,194
The Elder Scrolls V: Skyrim,195
Sekiro: Shadows Die Twice,196
Jackbox Party Packs,197
Jump King,198
Dying Light 2: Stay Human,199
PowerWash Simulator,200
