id,adoption,no outcome,transfer
67473,7.857443997636437e-4,0.9964776635169983,0.0027366336435079575
4629,0.009156426414847374,0.20139427483081818,0.7894493341445923
13914,0.3031870722770691,0.4792608916759491,0.21755200624465942
53131,0.49402502179145813,0.11809931695461273,0.38787567615509033
57800,0.8258771896362305,0.043296169489622116,0.1308266669511795
56791,0.003321601077914238,0.05082924664020538,0.9458491206169128
55589,0.14522048830986023,0.08275748044252396,0.7720220685005188
67974,0.8165011405944824,0.10796569287776947,0.07553315162658691
36397,0.0048667206428945065,0.10838726907968521,0.8867459893226624
58998,0.014722269959747791,0.31066909432411194,0.6746086478233337
50659,0.3458028733730316,0.4285115897655487,0.22568556666374207
21600,0.008953960612416267,0.228995218873024,0.7620508074760437
76731,0.028469853103160858,0.5964993834495544,0.3750307857990265
27411,0.8838383555412292,0.035321347415447235,0.08084027469158173
62917,0.012237940914928913,0.7332345247268677,0.2545275390148163
35197,0.007019625976681709,0.9639320373535156,0.02904837392270565
54604,0.01107362937182188,0.2182503491640091,0.7706760168075562
61323,0.2411164492368698,0.5294675230979919,0.22941605746746063
33632,0.010456995107233524,0.32142627239227295,0.6681166887283325
57565,0.23967184126377106,0.417803555727005,0.34252458810806274
31274,0.47281819581985474,0.153622567653656,0.37355929613113403
23183,0.6833682656288147,0.09852155297994614,0.21811018884181976
40620,0.7508914470672607,0.042678508907556534,0.20643001794815063
26381,0.05538645014166832,0.5537298321723938,0.3908837139606476
57128,0.4414137303829193,0.03261428698897362,0.5259720087051392
48320,0.6559821367263794,0.16112573444843292,0.1828920990228653
43623,0.5328872203826904,0.32643449306488037,0.140678271651268
69967,0.013054356910288334,0.18554195761680603,0.8014037013053894
55885,0.7797639966011047,0.06838130205869675,0.15185469388961792
60349,0.8724952936172485,0.03318260610103607,0.094322100281715393
43407,0.7104195952415466,0.12970809638500214,0.15987230837345123
3923,0.36566874384880066,0.11127191036939621,0.5230593085289001
71389,0.0013583468971773982,0.9943211078643799,0.004320569336414337
35032,0.817862331867218,0.037963349372148514,0.14417433738708496
5749,0.7536003589630127,0.060839101672172546,0.18556058406829834
22578,0.6843572854995728,0.16793252527713776,0.14771021902561188
55435,0.24443623423576355,0.1685231477022171,0.5870406031608582
41962,0.013493719510734081,0.09898490458726883,0.8875213861465454
52778,0.8786194920539856,0.026675470173358917,0.0947050228714943
67232,0.8925512433052063,0.045337431132793427,0.06211131811141968
48910,0.6338748335838318,0.21757721900939941,0.14854796230793
39394,0.3926376700401306,0.3235023021697998,0.28386008739471436
22695,0.5857797265052795,0.26248228549957275,0.1517379730939865
39198,0.47530409693717957,0.30502668023109436,0.21966925263404846
58191,0.5859542489051819,0.09281980246305466,0.32122597098350525
32349,0.46694129705429077,0.4456084370613098,0.0874503031373024
2597,0.7175886034965515,0.055949579924345016,0.22646179795265198
70368,0.7292478680610657,0.1531861275434494,0.11756600439548492
15913,0.2677552402019501,0.6491870880126953,0.08305763453245163
54739,0.18192878365516663,0.3025190532207489,0.5155522227287292
71101,0.009463304653763771,0.32810577750205994,0.6624309420585632
9055,0.4429021179676056,0.3758467137813568,0.1812511533498764
75773,0.28417566418647766,0.057469937950372696,0.6583544015884399
11436,0.469220370054245,0.15567392110824585,0.37510576844215393
64252,0.614971935749054,0.11406365036964417,0.2709644138813019
39367,0.6067817807197571,0.05170576274394989,0.3415125012397766
26411,0.8033908605575562,0.035367440432310104,0.16124171018600464
69792,0.1577330380678177,0.48559314012527466,0.35667377710342407
20920,0.4130593538284302,0.16515997052192688,0.42178067564964294
36130,0.61450958251953125,0.08727739006280899,0.29821300506591797
8446,0.6477429270744324,0.05957872420549393,0.2926783263683319
45447,0.2955649495124817,0.211575448513031,0.4928596317768097
11750,0.27227500081062317,0.044502146542072296,0.6832228899002075
72072,0.8870489597320557,0.01650228351354599,0.09644876420497894
11012,0.6814086437225342,0.028415607288479805,0.29017573595046997
47625,0.7540491819381714,0.15659771859645844,0.0893530622124672
49806,0.6857755780220032,0.032904185354709625,0.281320184469223
71679,0.005343862809240818,0.18857218325138092,0.8060839772224426
18580,0.16162994503974915,0.5107633471488953,0.3276066780090332
49773,0.7591864466667175,0.13959603011608124,0.10121752321720123
58089,0.02060636132955551,0.7272650599479675,0.25212860107421875
25360,0.6009246706962585,0.13819772005081177,0.2608776092529297
53298,0.43775075674057007,0.24934402108192444,0.3129051923751831
47495,0.007914900779724121,0.8041490912437439,0.18793608248233795
33614,0.7916563749313354,0.018580928444862366,0.189762681722641
14153,0.800200879573822,0.015000289306044579,0.18479883670806885
