Id,TotalViews
371948,1475.4137158623114
464902,303.329797610724
63917,-764.5370307863338
969830,-665.5021714563989
39317,44571.83011495214
938452,91959.43386692408
84803,104630.21242965214
826746,-779.6802019708455
247,921.8878476582602
989111,-1048.4778807340656
644942,1634.225692658197
145158,20177.70915946547
58779,-1050.253484096253
31345,-565.3289724667939
58896,-1050.1807299979073
37209,10788.921080590786
617707,-1036.119128960353
758843,812.2604361742319
613860,28353.36683317164
23688,-687.6647313832777
410745,19986.934607330448
859854,-964.3782271509396
608814,-892.6230073506583
653352,-759.0889129551746
47659,-558.2267446477288
527760,-627.7152556310239
1061344,-1028.8816464671609
34081,2779.2734946888577
112445,-690.2482733539823
22311,6058.847443204582
676981,-915.7203182405501
783808,-1048.2585550686254
954042,-572.7809211359197
1048457,375.8734206908056
371613,-997.2766628026156
1086289,-983.6584429403896
900961,-1025.9575339553796
1137754,8123.089526378143
524232,2443.803211766647
695786,-699.4166131702732
791326,-580.9811730136618
1171647,-1044.6374540090123
944244,-1048.9650192040779
1156258,-505.5104880827078
905482,-1041.4545171603152
514705,918.5011971284016
1049303,-726.5145581387985
10625,-559.7029388857325
71333,-896.8531645449567
1056634,-1050.1726175750339
244521,10807.883068771467
668621,-431.54796163625446
699927,173.9985687891591
895897,-995.4738491094336
490045,-441.88507958740155
866718,-974.1762028544134
1057557,-1041.2977637428476
455773,-988.7884366141095
168334,1898.164175849176
92624,1691.0483614749542
15262,1501.3819765028043
98125,-1026.2234561496903
68239,48592.54681136618
12280,9101.906193990928
149,13884.300999334297
745723,-1046.7048097221073
2351,3158.860769360931
27927,-559.502572488994
792221,-380.1210814088902
228716,-865.3034333904982
504848,4804.817193475445
410741,-992.2259981111798
860155,-1018.2389302326583
605460,-497.0245618475393
902172,-789.2091826131805
41773,-675.0615211640984
783554,-1049.7530263383005
1109781,-973.3273203494421
55488,1190.02141514407
783560,-1022.1354260626159
191985,-118.05128591032712
645004,283.4365061369748
560711,7945.681432723013
832340,3957.6289200839783
34291,-916.3401188222028
887068,-766.254566480756
348,32835.410732222255
544367,10201.631606127898
577082,-349.9763783486472
134358,284.66739757644496
847951,-744.141538719414
980854,-1039.497556661323
1974,154196.21497453068
1136944,-926.8319654464345
353386,1102.1056423714865
535591,-198.49976212275487
900404,-1031.8506348255949
782925,-1033.0093647369683
2560,-242.48647278820152
5864,-196.2094056775635
1452,3622.8797880530506
967198,-1036.769017699757
1017522,-1040.4420050542885
763411,-998.5538883659563
122398,88133.21344120367
747,141929.29205157046
500885,58189.78401682354
462183,4807.579448974571
606225,-696.8689354946669
844352,464.88100671981044
1123705,-996.0252891019775
34111,3449.4798690174066
753640,-778.4180524104972
579841,-623.9515705257672
474583,-980.7021101936474
506054,-268.1168372873282
974990,-255.28012651901292
1973,2315.9334800625966
1016,12628.783299208946
1108728,4365.274356152179
226814,2799.62038477633
821662,-414.3037622481875
315333,-811.0813380070491
486270,4040.2828141405994
411316,-958.4658815222372
24521,-514.538126729241
1084846,-704.8380705114267
861116,-832.112627640303
58286,-1050.1856664723007
637653,3895.146154035167
20453,-1008.9143892206288
700330,-1001.8916327906497
225598,-950.6238038048167
1685,791.2637106201337
1136518,-943.1909612993721
693211,-954.3615499376734
1043963,-760.201921580554
462845,-1028.844889029024
995627,-933.5924352829302
800214,-167.8975580119112
44152,-675.0799563585314
274457,347.13494957259854
729799,-169.89726570725134
960215,-1035.5520337960256
424114,-1045.3096475951834
787482,-1052.4719365509186
1062363,-1048.8846485519912
917680,-1035.4275458644736
944556,-741.6831221894719
1169346,-1048.3982215492138
410611,-625.0583990195133
587651,-307.2038919437787
1185149,-920.4596686008593
992,3937.31694115052
459951,-1049.5114115339309
769411,-1048.4272145988534
36638,-152.53380226239256
437114,133.13330325961226
335363,2489.5748225889347
1011941,589.686665016886
699311,21881.629233641077
964331,-938.9241592732726
1068264,-690.5475090413968
997271,759.1470771589547
164704,29379.171108417075
1117292,-796.7150746859284
250953,775.2251091079529
1113962,-1039.591892834793
107357,-902.1411303663679
713,50516.35624538139
829413,1659.5023560632292
972994,-895.9384445505463
404790,-935.3492957169258
511677,28.15107775997774
580154,-740.27614807317
1146726,-435.5573679690461
885773,7722.148866140311
385915,6294.521330667648
1858,10837.599479694712
770789,-600.796819216995
1215,92771.35012437653
562284,-771.7449631379718
477721,269.0437075171586
814598,-164.66202150856645
559549,5018.870986572521
824859,-278.6023820554149
852005,586.7056540751345
585099,1724.412485492559
858744,-1047.555097916533
497402,-1031.3724382840026
860872,-974.2848193555288
371781,-211.53009072812432
946898,-246.17098476839055
34002,-677.6119058542456
33078,2557.028240248027
160337,31426.676969184904
559420,-982.6743360025633
2263,12870.102568079332
811572,3879.76248580572
1152111,-1049.9875573314396
727567,-1045.6321357270394
108877,7458.215464655512
936288,-602.6874981163206
805871,-676.2421517029636
936247,-1035.6365705382898
56055,-736.4685320868059
898535,-874.5502613463073
309517,-307.61853506605274
703829,-1019.4170110869901
847957,-1043.6027161034217
1202214,-642.8790674831918
1125235,-904.935180678886
